Pos;P+;Artist and Title;Days;Pk;(x?);Pts;Pts+;TPts;US;UK;DE;AU;JP
78;68;Lady Gaga - Always Remember Us This Way;1202;2;(x18);1950;522;5.976;;;;60;
79;-36;Godsmack - Surrender;2;43;;1948;-1272;0.005;11;;;;
80;82;Burna Boy - For My Hand;77;23;;1884;517;0.148;;34;;;
81;2;Öwnboss & SEVEK - Move Your Body;172;36;;1868;-256;0.351;;;43;;
82;-6;Christina Perri - A Thousand Years;1722;17;;1864;-410;6.344;;;;;
83;-32;Shawn Mendes - When You're Gone;182;2;(x1);1861;-1064;0.750;;;33;;
84;-31;Passenger - Let Her Go;1175;6;;1830;-1075;8.780;;82;;;
85;-41;Rihanna - Diamonds;2201;1;(x14);1828;-1364;11.013;;;;;
86;-27;DJ Robin & Schürze - Layla;131;22;;1817;-897;0.415;;;13;;
87;NEW;Chase McDaniel - Your Daughter;1;87;;1815;1815;0.002;;;;3;
88;54;Morgan Wallen - You Proof;124;26;;1754;304;0.229;12;;;;
89;NEW;Ranmaru Kurosaki - SIMPLE;1;89;;1706;1706;0.002;;;;;3
90;42;Kane Brown & Katelyn Brown - Thank God;21;30;;1704;166;0.063;7;;;;
91;60;Taylor Swift - Shake It Off;725;1;(x47);1676;258;7.709;;;;41;
92;61;Lost Frequencies & Calum Scott - Where Are You Now;423;6;;1664;268;2.466;;60;;;
93;15;Cian Ducrot & Ella Henderson - All For You;49;77;;1646;-129;0.079;;8;;;
94;12;Bizarrap & Quevedo - Quevedo: Bzrp Music Sessions, Vol. 52;85;42;;1645;-150;0.164;;;;;
95;NEW;She is Legend - Before I Rise;1;95;;1621;1621;0.002;;;;;2
96;-39;George Ezra - Green Green Grass;161;9;;1615;-1139;0.663;;42;;31;
97;12;Ado - Where the Wind Blows;50;57;;1614;-151;0.092;;;;;34
98;NEW;RADWIMPS - Suzume;1;98;;1608;1608;0.002;;;;;6
99;46;HARDY & Lainey Wilson - wait in the truck;35;54;;1607;166;0.066;15;;;;
100;NEW;Charlie Puth & Jung Kook - Left and Right;97;1;(x4);1604;771;0.531;67;;;;
101;-19;Cole Swindell - She Had Me At Heads Carolina;136;56;;1593;-539;0.268;21;;;;
102;NEW;HYUK - Stay For Me;1;102;;1593;1593;0.002;;;;;49
103;-40;Fun. - We Are Young;721;1;(x22);1591;-1054;7.778;;;;;
104;-11;Ado - New Genesis;114;45;;1563;-362;0.213;;;;;9
105;106;Topic & A7S - Kernkraft 400;65;75;;1558;475;0.124;;;15;;
106;-51;Adele - Rolling In the Deep;2369;1;(x1);1552;-1234;16.299;;;;;
107;NEW;Kerala Dust - The Chain;1;107;;1551;919;0.002;;;;14;
108;11;Sayuri - Tower of Flower;61;91;;1546;-79;0.086;;;;;12
109;-39;Katy Perry - Roar;1513;1;(x55);1540;-924;9.076;;;;;
